시도,시군구,제조사,모델,보조금,지역코드
대구광역시,,케이지모빌리티,토레스 EVX 20인치,506.0,100
대구광역시,,폴스타오토모티브코리아,Polestar 4 Long Range Single Motor,259.0,100
대구광역시,,폴스타오토모티브코리아,Polestar 4 Long Range Dual Motor,201.0,100
대구광역시,,볼보자동차코리아,볼보 EX30 Single Motor ER,353.0,100
대구광역시,,비와이디코리아,BYD ATTO 3,207.0,100
대구광역시,,기아,레이 EV 2WD 14인치 4인승 승용,663.0,100
대구광역시,,기아,레이 EV 2WD 14인치 2인승 밴,663.0,100
대구광역시,,기아,레이 EV 2WD 14인치 1인승 밴,663.0,100
대구광역시,,현대자동차,캐스퍼 일렉트릭 항속형 17인치,726.0,100
대구광역시,,현대자동차,캐스퍼 일렉트릭 항속형 15인치,726.0,100
대구광역시,,현대자동차,캐스퍼 일렉트릭 기본형 15인치,726.0,100
대구광역시,,현대자동차,캐스퍼 일렉트릭 크로스 17인치,726.0,100
대구광역시,,쎄보모빌리티,(단종)CEVO-C SE,320.0,100
인천광역시,,현대자동차,GV60 스탠다드 2WD 19인치,400.0,171
인천광역시,,현대자동차,GV60 스탠다드 AWD 19인치,364.0,171
인천광역시,,현대자동차,GV60 스탠다드 AWD 20인치,350.0,171
인천광역시,,현대자동차,GV60 퍼포먼스 AWD 21인치,329.0,171
인천광역시,,현대자동차,Electrified GV70 AWD 20인치,340.0,171
인천광역시,,현대자동차,Electrified GV70 AWD 19인치,363.0,171
인천광역시,,현대자동차,아이오닉6 스탠다드 2WD 18인치,843.0,171
인천광역시,,현대자동차,아이오닉6 롱레인지 2WD 18인치,914.0,171
인천광역시,,현대자동차,아이오닉6 롱레인지 2WD 20인치,905.0,171
인천광역시,,현대자동차,아이오닉6 롱레인지 AWD 18인치,914.0,171
인천광역시,,현대자동차,아이오닉6 롱레인지 AWD 20인치,859.0,171
인천광역시,,현대자동차,코나 일렉트릭 2WD 스탠다드 17인치,750.0,171
인천광역시,,현대자동차,코나 일렉트릭 2WD 롱레인지 17인치,830.0,171
인천광역시,,현대자동차,코나 일렉트릭 2WD 롱레인지 19인치(빌트인 캠),753.0,171
인천광역시,,현대자동차,아이오닉5 N,324.0,171
인천광역시,,현대자동차,더뉴아이오닉5 2WD 롱레인지 19인치 빌트인 캠 미적용,887.0,171
인천광역시,,현대자동차,더뉴아이오닉5 2WD 롱레인지 19인치,883.0,171
인천광역시,,현대자동차,더뉴아이오닉5 2WD 롱레인지 20인치,876.0,171
인천광역시,,현대자동차,더뉴아이오닉5 AWD 롱레인지 20인치,838.0,171
인천광역시,,현대자동차,더뉴아이오닉5 AWD 롱레인지 19인치,875.0,171
인천광역시,,현대자동차,더뉴아이오닉5 2WD 롱레인지 N라인 20인치,851.0,171
인천광역시,,현대자동차,더뉴아이오닉5 AWD 롱레인지 N라인 20인치,808.0,171
인천광역시,,현대자동차,Electrified G80 AWD 19인치(2025),384.0,171
인천광역시,,현대자동차,더뉴아이오닉5 2WD 스탠다드 19인치,756.0,171
인천광역시,,현대자동차,Electrified GV70 AWD 20인치(2025),349.0,171
인천광역시,,현대자동차,Electrified GV70 AWD 19인치(2025),371.0,171
인천광역시,,현대자동차,코나 일렉트릭 2WD 롱레인지 17인치(빌트인 캠),830.0,171
인천광역시,,현대자동차,아이오닉9 성능형 AWD,386.0,171
인천광역시,,현대자동차,아이오닉9 항속형 AWD,385.0,171
인천광역시,,현대자동차,아이오닉9 항속형 2WD,389.0,171
인천광역시,,현대자동차,GV60 퍼포먼스 AWD 21인치(2025),346.0,171
인천광역시,,현대자동차,GV60 스탠다드 AWD 20인치(2025),371.0,171
인천광역시,,현대자동차,GV60 스탠다드 AWD 19인치(2025),386.0,171
인천광역시,,현대자동차,GV60 스탠다드 2WD 19인치(2025),405.0,171
인천광역시,,기아,The all-new Kia Niro EV,787.0,171
인천광역시,,기아,EV9 롱레인지 2WD 19인치,384.0,171
인천광역시,,기아,EV9 롱레인지 2WD 20인치,381.0,171
인천광역시,,기아,EV9 롱레인지 4WD 19인치,361.0,171
인천광역시,,기아,EV9 롱레인지 4WD 21인치,370.0,171
인천광역시,,기아,EV9 롱레인지 GTL 4WD 21인치,358.0,171
인천광역시,,기아,더뉴EV6 롱레인지 4WD 20인치,831.0,171
인천광역시,,기아,더뉴EV6 롱레인지 2WD 20인치,869.0,171
인천광역시,,기아,더뉴EV6 롱레인지 4WD 19인치,872.0,171
인천광역시,,기아,더뉴EV6 롱레인지 2WD 19인치,885.0,171
인천광역시,,기아,EV3 롱레인지 2WD 17인치,789.0,171
인천광역시,,기아,EV3 롱레인지 2WD 19인치,789.0,171
인천광역시,,기아,EV3 스탠다드 2WD,668.0,171
